condition,intervention,parameter,entropy,confidence,problem_idx
Noise-0.05,noise,0.05,0.9628461,0.84233594,3
Noise-0.05,noise,0.05,2.3852153,0.58724225,4
Noise-0.05,noise,0.05,1.3771363,0.76439595,5
Noise-0.05,noise,0.05,2.629868,0.53858894,6
Noise-0.05,noise,0.05,2.739441,0.43593597,7
Noise-0.05,noise,0.05,2.9663508,0.38672984,8
Noise-0.05,noise,0.05,3.524298,0.3410361,9
Noise-0.05,noise,0.05,1.2652671,0.79973626,10
Noise-0.05,noise,0.05,2.0132067,0.6309022,11
Noise-0.05,noise,0.05,3.241384,0.46297503,12
Noise-0.05,noise,0.05,1.0781273,0.8219057,13
Noise-0.05,noise,0.05,2.0132985,0.6319215,14
Noise-0.05,noise,0.05,3.350306,0.4178289,15
Noise-0.05,noise,0.05,2.8554208,0.5012852,16
Noise-0.05,noise,0.05,2.465556,0.52796495,17
Noise-0.05,noise,0.05,2.4898202,0.58981925,18
Noise-0.05,noise,0.05,3.0019097,0.4288702,19
Noise-0.1,noise,0.1,1.2247663,0.78361607,0
Noise-0.1,noise,0.1,2.7099266,0.51347744,1
Noise-0.1,noise,0.1,2.2005029,0.62514937,2
Noise-0.1,noise,0.1,0.95718676,0.8433918,3
Noise-0.1,noise,0.1,2.3827863,0.58818334,4
Noise-0.1,noise,0.1,1.3676431,0.76679534,5
Noise-0.1,noise,0.1,2.6354163,0.53807425,6
Noise-0.1,noise,0.1,2.7353609,0.43707138,7
Noise-0.1,noise,0.1,2.96656,0.38661912,8
Noise-0.1,noise,0.1,3.5246646,0.34121007,9
Noise-0.1,noise,0.1,1.2618765,0.8002872,10
Noise-0.1,noise,0.1,2.0131986,0.63139623,11
Noise-0.1,noise,0.1,3.2373962,0.4637176,12
Noise-0.1,noise,0.1,1.0736333,0.8229625,13
Noise-0.1,noise,0.1,2.0083175,0.63285613,14
Noise-0.1,noise,0.1,3.347976,0.41824785,15
Noise-0.1,noise,0.1,2.8545492,0.5015028,16
Noise-0.1,noise,0.1,2.4552271,0.53011096,17
Noise-0.1,noise,0.1,2.4871535,0.5908244,18
Noise-0.1,noise,0.1,3.0086207,0.42705885,19
